school_name,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,ulocale,presence_second_shooter
Liberty Memorial Middle School,Los Fresnos CISD,5/15/2007,2006-2007,2007,10:00:00,Tuesday,Los Fresnos,Texas,public,505,0,0,0,indiscriminate,14,m,Unknown,student,0.0,0,.38 semiautomatic handgun,father,26.1106,-97.5108,35.0,6,8,187.0,Cameron County,41.0,0
George S. Middleton High School,Hillsborough,6/6/2007,2006-2007,2007,12:00:00,Wednesday,Tampa,Florida,public,1799,0,0,0,targeted,17,m,Unknown,former student,0.0,1,.22-caliber handgun,Unknown,27.99133,-82.43267,91.0,9,12,1091.0,Hillsborough County,11.0,0
SuccessTech Academy,Cleveland Municipal City,10/10/2007,2007-2008,2007,13:15:00,Wednesday,Cleveland,Ohio,public,260,0,4,4,indiscriminate,14,m,Unknown,student,1.0,1,".22-caliber revolver, .38-caliber revolver",Unknown,41.50762,-81.6869,14.0,9,12,488.0,Cuyahoga County,11.0,0
Groves High School,Chatham County,10/15/2007,2007-2008,2007,14:45:00,Monday,Garden City,Georgia,public,1534,0,0,0,targeted,19,m,Unknown,Unknown,0.0,0,Unknown,Unknown,32.10841,-81.15661,90.0,9,12,799.0,Chatham County,22.0,0
Crossroads Charter High School,Crossroads Charter High,1/16/2008,2007-2008,2008,10:15:00,Wednesday,Charlotte,North Carolina,public,244,0,1,1,accidental,16,m,b,student,0.0,0,Unknown,Unknown,35.26039,-80.77591,13.0,9,12,488.0,Mecklenburg County,11.0,0
Hamilton High School,Memphis City School District,2/4/2008,2007-2008,2008,10:00:00,Monday,Memphis,Tennessee,public,1581,0,1,1,targeted,16,m,Unknown,student,0.0,0,380-caliber handgun,Unknown,35.10069,-90.0174,87.9,9,12,863.0,Shelby County,11.0,0
Notre Dame Elementary School,Unknown,2/7/2008,2007-2008,2008,09:12:00,Thursday,Portsmouth,Ohio,private,166,0,1,1,targeted,56,m,w,spouse of teacher,1.0,0,Unknown,Unknown,38.735563,-82.986607,14.0,PK,6,488.0,Scioto County,31.0,0
Mitchell High School,Memphis City School District,2/11/2008,2007-2008,2008,09:00:00,Monday,Memphis,Tennessee,public,1110,0,1,1,targeted,17,m,Unknown,student,0.0,1,.22-caliber pistol,purchased from someone in apartment complex,35.05595,-90.08589,53.8,9,12,787.0,Shelby County,11.0,0
E.O. Green Junior High School,Hueneme Elementary,2/12/2008,2007-2008,2008,08:15:00,Tuesday,Oxnard,California,public,1065,1,0,1,targeted,14,m,Unknown,student,0.0,0,.22-caliber handgun,relative,34.16568,-119.1814,50.0,6,8,775.0,Ventura County,12.0,0
Roosevelt High School,Fresno Unified,4/16/2008,2007-2008,2008,11:54:00,Wednesday,Fresno,California,public,2735,1,0,1,targeted,38,m,Unknown,resource officer,0.0,1,pistol,department issued,36.74302,-119.7537,137.6,9,12,2466.0,Fresno County,11.0,0
Central High School,Knox County School District,8/21/2008,2008-2009,2008,08:10:00,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15,m,Unknown,student,0.0,1,"small-caliber, semiautomatic pistol",Unknown,36.0392,-83.9216,79.5,9,12,569.0,Knox County,12.0,0
Dillard High School,Broward,11/12/2008,2008-2009,2008,11:00:00,Wednesday,Fort Lauderdale,Florida,public,1758,1,0,1,targeted,15,f,b,student,0.0,1,.22-caliber semi-automatic handgun,family member,26.1383,-80.176,149.4,9,12,1193.0,Broward County,12.0,0
Central High School,Detroit City School District,2/17/2009,2008-2009,2009,14:00:00,Tuesday,Detroit,Michigan,public,919,0,2,2,targeted,17,m,Unknown,non-student,0.0,1,handgun,Unknown,42.3837,-83.1115,57.2,9,12,640.0,Wayne County,11.0,0
John Muir Elementary School,Hayward Unified,2/20/2009,2008-2009,2009,12:00:00,Friday,Hayward,California,public,354,0,0,0,targeted,19,m,Unknown,Unknown,0.0,0,shotgun,Unknown,37.6566,-122.083,20.4,KG,6,488.0,Alameda County,12.0,0
Ribault High School,Duval,3/10/2009,2008-2009,2009,07:22:00,Tuesday,Jacksonville,Florida,public,1131,0,0,0,targeted,19,,Unknown,Unknown,0.0,0,Unknown,Unknown,30.3895,-81.707,67.4,9,12,609.0,Duval County,11.0,0
Larose-Cut Off Middle School,Lafourche Parish,5/18/2009,2008-2009,2009,09:00:00,Monday,Larose,Louisiana,public,512,0,0,0,targeted,15,m,Unknown,student,1.0,0,25-caliber nickel plate semi-automatic,father,29.5004,-90.3295,37.8,6,8,265.0,Lafourche Parish,41.0,0
Stamford Academy,Stamford Academy,9/8/2009,2009-2010,2009,08:05:00,Tuesday,Stamford,Connecticut,public,131,0,0,0,targeted,16,m,Unknown,student,0.0,0,.22-caliber pistol,Unknown,41.059329,-73.536464,8.0,9,12,111.0,Fairfield County,12.0,0
Virginia Randolph Community High School,Henrico Co Pblc Schs,9/16/2009,2009-2010,2009,12:30:00,Wednesday,Glen Allen,Virginia,public,292,0,0,0,targeted,16,m,Unknown,student,0.0,0,.40-caliber handgun,Unknown,37.661586,-77.483135,30.18,8,12,237.0,Henrico County,21.0,0
Mattituck Junior-Senior High School,Mattituck-Cutchogue Union Free School District,10/8/2009,2009-2010,2009,14:00:00,Thursday,Mattituck,New York,public,812,0,1,1,accidental,28,m,Unknown,Unknown,0.0,0,22-caliber rifle,mother,40.996241,-72.529205,68.28,7,12,86.0,Suffolk County,31.0,0
Carolina Forest High School,Horry 01,10/16/2009,2009-2010,2009,08:25:00,Friday,Conway,South Carolina,public,1958,1,0,1,targeted,19,m,w,school resource officer,0.0,1,.40 caliber Glock,department issued,33.780761,-78.97152,102.5,9,12,901.0,Horry County,41.0,0
Booker T. Washington High School,Caddo Parish,12/11/2009,2009-2010,2009,08:10:00,Friday,Shreveport,Louisiana,public,336,0,1,1,targeted,28,m,b,ex-boyfriend of student,0.0,1,handgun,Unknown,32.503605,-93.77398,34.55,9,12,278.0,Caddo Parish,12.0,0
Discovery Middle School,Madison City,2/5/2010,2009-2010,2010,13:45:00,Friday,Madison,Alabama,public,1000,1,0,1,targeted,14,m,a,student,0.0,1,.22-caliber pistol,friend's home,34.740322,-86.741148,54.5,7,9,176.0,Madison County,22.0,0
Deer Creek Middle School,Jefferson County School District No. R-1,2/23/2010,2009-2010,2010,15:14:00,Tuesday,Littleton,Colorado,public,516,0,2,2,indiscriminate,32,m,w,Unknown,0.0,0,hunting rifle,Unknown,39.5869,-105.102,28.2,7,8,60.0,Jefferson County,21.0,0
Woodrow Wilson High School,Portsmouth City Pblc Schs,4/28/2010,2009-2010,2010,12:15:00,Wednesday,Portsmouth,Virginia,public,1309,0,0,0,indiscriminate,15,m,b,student,0.0,0,handgun,Unknown,36.815009,-76.381349,64.33,9,12,695.0,Portsmouth City,12.0,0
South Gate High School,Los Angeles Unified,5/18/2010,2009-2010,2010,07:51:00,Tuesday,South Gate,California,public,3289,0,1,1,targeted,15,m,Unknown,student,0.0,0,Unknown,Unknown,33.954604,-118.209757,126.1,9,12,2373.0,Los Angeles County,21.0,0
Sullivan Central High School,Sullivan County,8/30/2010,2010-2011,2010,09:10:00,Monday,Blountville,Tennessee,public,1115,1,0,1,targeted,19,,Unknown,police officer,0.0,1,handgun,department issued,36.531336,-82.387049,67.7,9,12,386.0,Sullivan County,41.0,0
Socastee High School,Horry 01,9/21/2010,2010-2011,2010,14:00:00,Tuesday,Conway,South Carolina,public,1453,0,1,1,targeted,14,m,w,student,0.0,1,revolver,parent,33.6788,-79.004328,80.8,9,12,678.0,Horry County,22.0,0
Alisal High School,Salinas Union High,10/1/2010,2010-2011,2010,07:53:00,Friday,Salinas,California,public,2478,1,0,1,targeted,19,m,Unknown,Unknown,0.0,0,Unknown,Unknown,36.686184,-121.595961,55.3,3,12,1869.0,Monterey County,12.0,0
Kelly Elementary School,Carlsbad Unified,10/8/2010,2010-2011,2010,12:00:00,Friday,Carlsbad,California,public,477,0,2,2,indiscriminate,41,m,w,none,0.0,0,.357-caliber magnum revolver,Unknown,33.14836,-117.311227,55.3,KG,5,45.0,San Diego County,12.0,0
Marinette High School,Marinette School District,11/29/2010,2010-2011,2010,13:30:00,Monday,Marinette,Wisconsin,public,690,0,0,0,hostage suicide,15,m,w,student,1.0,0,handgun,Unknown,45.084351,-87.629512,44.69,9,12,283.0,Marinette County,41.0,0
Millard South High School,Millard Public Schools,1/5/2011,2010-2011,2011,12:45:00,Wednesday,Omaha,Nebraska,public,2043,1,2,3,targeted and indiscriminate,17,m,b,student,1.0,0,Glock .40-caliber S&W pistol,father,41.203481,-96.146049,135.5,9,12,475.0,Douglas County,11.0,0
Gardena High School,Los Angeles Unified,1/18/2011,2010-2011,2011,10:40:00,Tuesday,Los Angeles,California,public,2299,0,2,2,accidental,17,m,Unknown,student,0.0,0,9-mm Beretta handgun,Unknown,33.866372,-118.29633,55.3,8,12,1556.0,Los Angeles County,13.0,0
Louisiana Schnell Elementary School,Placerville Union Elementary,2/2/2011,2010-2011,2011,10:37:00,Wednesday,Placerville,California,public,424,1,0,1,targeted,44,m,w,janitor,0.0,0,.357-caliber revolver,legally purchased by shooter,38.735106,-120.779419,55.3,KG,5,264.0,El Dorado County,32.0,0
Martinsville West Middle,M S D Martinsville Schools,3/25/2011,2010-2011,2011,07:00:00,Friday,Martinsville,Indiana,public,584,0,1,1,targeted,15,m,w,former student (expelled),0.0,0,9mm handgun,friend's home,39.420621,-86.427053,38.97,6,8,354.0,Morgan County,31.0,0
Sheeler Charter High School,Orange,4/13/2011,2010-2011,2011,12:00:00,Wednesday,Apopka,Florida,public,465,0,1,1,accidental,17,m,b,Unknown,0.0,1,Unknown,Unknown,28.673157,-81.494124,7.0,9,12,183.0,Orange County,21.0,0
Ross Elementary School,Houston ISD,4/19/2011,2010-2011,2011,10:20:00,Tuesday,Houston,Texas,public,462,0,2,2,accidental,6,m,Unknown,student,0.0,0,.380-caliber semi-automatic,"mother's friend, home shooter was staying",29.800326,-95.341835,27.32,PK,5,263.0,Harris County,11.0,0
Cape Fear High School,Cumberland County Schools,10/24/2011,2011-2012,2011,13:00:00,Monday,Fayetteville,North Carolina,public,1575,0,1,1,targeted,15,m,Unknown,student,0.0,0,.22-caliber Daisy rifle,Unknown,35.034044,-78.762384,93.86,9,12,690.0,Cumberland County,41.0,0
Cummings Middle School,Brownsville ISD,1/4/2012,2011-2012,2012,08:00:00,Wednesday,Brownsville,Texas,public,746,1,0,1,targeted,19,m,Unknown,police officer,0.0,0,Unknown,department issued,25.913899,-97.493734,49.47,6,8,0.0,Cameron County,12.0,0
North Forest High School,North Forest ISD,1/10/2012,2011-2012,2012,12:30:00,Tuesday,Houston,Texas,public,1274,0,1,1,targeted,18,m,Unknown,student,0.0,1,handgun,Unknown,29.868788,-95.26259,88.68,9,12,1271.0,Harris County,11.0,0
Walpole Elementary School,Fall Mountain Regional School District,2/10/2012,2011-2012,2012,11:00:00,Friday,Walpole,New Hampshire,public,149,0,0,0,public suicide (attempted),14,m,Unknown,student,0.0,0,20-gauge shotgun,Unknown,43.078915,-72.426439,15.3,5,8,42.0,Cheshire County,42.0,0
Armin Jahr Elementary School,Bremerton School District,2/22/2012,2011-2012,2012,13:30:00,Wednesday,Bremerton,Washington,public,411,0,1,1,accidental,9,m,w,student,0.0,0,.45 caliber handgun,mother,47.593761,-122.63622,25.16,KG,5,310.0,Kitsap County,13.0,0
Chardon High School,Chardon Local,2/27/2012,2011-2012,2012,07:30:00,Monday,Chardon,Ohio,public,1058,3,3,6,indiscriminate,17,m,w,"student at neighboring school, rode bus with some victims",0.0,0,Ruger MK III .22 caliber semi-automatic handgun,uncle,41.591297,-81.199958,58.0,9,12,193.0,Geauga County,31.0,0
Episcopal School of Jacksonville,Unknown,3/6/2012,2011-2012,2012,13:15:00,Tuesday,Jacksonville,Florida,private,869,1,0,1,targeted,28,m,w,fired teacher,1.0,0,AK-47 assault-style rifle,legally purchased at gun show,30.308617,-81.617917,92.8,6,12,488.0,Duval County,11.0,0
LeFlore High School,Mobile County,3/15/2012,2011-2012,2012,10:50:00,Thursday,Mobile,Alabama,public,921,0,0,0,targeted,16,m,b,suspended student from different campus,0.0,0,handgun,Unknown,30.714209,-88.086526,56.0,8,12,774.0,Mobile County,12.0,1
Mary Scroggs Elementary School,Chapel Hill-Carrboro Schools,5/25/2012,2011-2012,2012,14:00:00,Friday,Chapel Hill,North Carolina,public,614,1,0,1,targeted,49,m,Unknown,parent of students,0.0,0,Charter Arms .44 Bulldog revolver,Unknown,35.879122,-79.068506,42.73,KG,5,135.0,Orange County,13.0,0
Perry Hall High School,Baltimore County Public Schools,8/27/2012,2012-2013,2012,10:45:00,Monday,Baltimore,Maryland,public,2209,0,1,1,indiscriminate,15,m,w,student,0.0,1,shotgun,Unknown,39.39186,-76.466091,129.6,9,12,550.0,Baltimore County,21.0,0
Normal Community High School,Mclean County USD 5,9/7/2012,2012-2013,2012,08:00:00,Friday,Normal,Illinois,public,1895,0,0,0,indiscriminate,14,m,w,student,0.0,0,.22-caliber Ruger pistol,Unknown,40.533285,-88.914486,164.0,9,12,409.0,Mclean County,41.0,0
Sandy Hook Elementary School,Newtown School District,12/14/2012,2012-2013,2012,09:35:00,Friday,Newtown,Connecticut,public,454,26,2,28,indiscriminate,20,m,w,former student,1.0,0,Bushmaster XM15-E2S rifle,mother,41.41978,-73.277751,35.76,KG,4,23.0,Fairfield County,22.0,0
Apostolic Revival Center and Christian School,Unknown,1/7/2013,2012-2013,2013,11:00:00,Monday,Fort Myers,Florida,private,22,1,0,1,targeted,19,,Unknown,Unknown,0.0,0,Unknown,Unknown,26.64062,-81.834212,3.0,PK,7,488.0,Lee County,13.0,0
Taft Union High School,Taft Union High,1/10/2013,2012-2013,2013,09:00:00,Thursday,Taft,California,public,939,0,2,2,targeted,16,m,w,student,0.0,0,12-gauge shotgun,older brother,35.146256,-119.460383,62.89,9,12,502.0,Kern County,32.0,0
Price Middle School,Atlanta Public Schools,1/31/2013,2012-2013,2013,13:50:00,Thursday,Atlanta,Georgia,public,403,0,1,1,targeted,15,m,Unknown,student,0.0,1,small-caliber handgun,Unknown,33.708772,-84.387442,36.0,6,8,384.0,Fulton County,11.0,0
La Salle High School,Unknown,4/29/2013,2012-2013,2013,08:00:00,Monday,Cincinnati,Ohio,private,708,0,0,0,public suicide,17,m,Unknown,student,0.0,0,.45-caliber semi-automatic handgun,family member,39.189162,-84.586704,40.1,9,12,488.0,Hamilton County,21.0,0
Redland Middle School,Dade,5/23/2013,2012-2013,2013,,Thursday,Homestead,Florida,public,493,0,1,1,accidental,11,m,Unknown,student,0.0,0,.38 caliber handgun,Unknown,25.5369,-80.453001,30.0,6,8,448.0,Miami-Dade County,41.0,0
Ronald E. McNair Discovery Learning Academy,Dekalb County,8/20/2013,2013-2014,2013,12:51:00,Tuesday,Decatur,Georgia,public,822,0,0,0,targeted and indiscriminate,20,m,w,none apparent,0.0,0,".762-caliber AK-47-style weapon, manufactured by Romarm/Cugar",acquaintence of shooter,33.7273,-84.3068,47.8,PK,5,810.0,Dekalb County,21.0,0
Carver High School,Winston Salem/Forsyth County Schools,8/30/2013,2013-2014,2013,14:25:00,Friday,Winston-Salem,North Carolina,public,565,0,1,1,targeted,18,m,b,student,0.0,1,.38 caliber handgun,Unknown,36.1343,-80.2066,43.01,9,12,502.0,Forsyth County,12.0,0
Agape Christian Academy,Unknown,10/4/2013,2013-2014,2013,14:00:00,Friday,Pine Hills,Florida,private,331,0,2,2,targeted,19,,Unknown,none,0.0,0,Unknown,Unknown,28.57586,-81.475051,22.0,K,12,488.0,Orange County,21.0,0
Lanier High School,Austin ISD,10/15/2013,2013-2014,2013,12:04:00,Tuesday,Austin,Texas,public,1554,0,0,0,public suicide,16,m,h,student,1.0,1,handgun,Unknown,30.3606,-97.708,108.34,9,12,613.0,Travis County,11.0,0
Sparks Middle School,Washoe County School District,10/21/2013,2013-2014,2013,07:15:00,Monday,Sparks,Nevada,public,721,1,2,3,indiscriminate,12,m,h,student,1.0,0,Ruger SR9C semi-automatic handgun (9mm),father,39.5517,-119.7694,35.0,7,8,538.0,Washoe County,21.0,0
Newman Elementary School,Chino Valley Unified,10/23/2013,2013-2014,2013,11:14:00,Wednesday,Chino,California,public,745,0,3,3,accidental,8,m,Unknown,student,0.0,1,AR-15,police weapon,34.0271,-117.7144,25.5,KG,6,543.0,San Bernardino County,13.0,0
West Orange High School,Orange,12/4/2013,2013-2014,2013,13:15:00,Wednesday,Winter Garden,Florida,public,3749,0,1,1,targeted,17,m,b,student,0.0,1,Unknown,Unknown,28.5428,-81.5673,158.0,9,12,1255.0,Orange County,21.0,0
Arapahoe High School,"Littleton, School District No. 6, In The County Of Arapahoe",12/13/2013,2013-2014,2013,12:30:00,Friday,Centennial,Colorado,public,2273,1,0,1,targeted,18,m,w,student,1.0,1,Savage Arms Stevens Model 320 pump-action shotgun,legally purchased by shooter at Cabela's,39.5817,-104.9628,98.96,9,12,200.0,Arapahoe County,21.0,0
Liberty Technology Magnet High School,Madison County,1/9/2014,2013-2014,2014,14:21:00,Thursday,Jackson,Tennessee,public,802,0,1,1,targeted,16,m,b,student,0.0,0,handgun,Unknown,35.675,-88.7593,60.3,9,12,561.0,Madison County,41.0,0
Berrendo Middle School,Roswell Independent Schools,1/14/2014,2013-2014,2014,07:30:00,Tuesday,Roswell,New Mexico,public,632,0,3,3,targeted,12,m,w,student,0.0,1,shotgun,Unknown,33.4736,-104.5115,36.5,6,8,365.0,Chaves County,41.0,0
King Elementary School,Lancaster SD,1/15/2014,2013-2014,2014,14:48:00,Wednesday,Lancaster,Pennsylvania,public,540,0,0,0,unclear,19,,Unknown,Unknown,0.0,1,handgun,Unknown,40.0344,-76.2998,40.2,PK,5,498.0,Lancaster County,13.0,0
Delaware Valley Charter School,Delaware Valley CHS,1/17/2014,2013-2014,2014,15:20:00,Friday,Philadelphia,Pennsylvania,public,680,0,2,2,accidental or targeted,17,m,b,student,0.0,1,handgun,purchased from friend,40.0331,-75.1446,42.0,9,12,512.0,Philadelphia County,11.0,0
Rebound High School,Carbondale CHSD 165,1/27/2014,2013-2014,2014,12:00:00,Monday,Carbondale,Illinois,public,100,0,1,1,targeted,18,m,b,student,0.0,0,handgun,Unknown,37.727439,-89.227812,55.3,9,12,488.0,Jackson County,13.0,0
President Theodore Roosevelt High,Hawaii Department Of Education,1/28/2014,2013-2014,2014,08:30:00,Tuesday,Honolulu,Hawaii,public,1416,0,1,1,targeted,19,,Unknown,police officer,0.0,0,Unknown,department issued,21.3104,-157.8372,77.0,9,12,588.0,Honolulu County,11.0,0
Bend High School,Bend-Lapine Administrative SD 1,2/7/2014,2013-2014,2014,12:00:00,Friday,Bend,Oregon,public,1642,0,0,0,public suicide,17,m,Unknown,student,1.0,0,hunting rifle,legally owned by shooter,44.0523,-121.2959,62.77,9,12,1368.0,Deschutes County,13.0,0
Salisbury High School,Rowan-Salisbury Schools,2/10/2014,2013-2014,2014,14:41:00,Monday,Salisbury,North Carolina,public,858,0,1,1,targeted,17,m,b,Unknown,0.0,1,9mm gun (type unknown),Unknown,35.6648,-80.4849,54.53,9,12,577.0,Rowan County,22.0,0
Success Academy,Kansas City 33,2/20/2014,2013-2014,2014,10:30:00,Thursday,Raytown,Missouri,public,175,1,0,1,targeted,42,m,b,father of student,0.0,0,.45-caliber handgun ,legally purchased at pawn shop that morning,39.094,-94.5688,28.4,KG,12,488.0,Jackson County,11.0,0
Benjamin Banneker High School,Fulton County,3/25/2014,2013-2014,2014,13:00:00,Tuesday,College Park,Georgia,public,1537,0,0,0,targeted,19,,Unknown,Unknown,0.0,1,Unknown,Unknown,33.593,-84.5176,100.7,9,12,1376.0,Fulton County,21.0,0
D. H. Conley High School,Pitt County Schools,4/9/2014,2013-2014,2014,13:30:00,Wednesday,Greenville,North Carolina,public,1591,0,0,0,indiscriminate,17,m,b,student at rival school,0.0,0,.45-caliber handgun,Unknown,35.5306,-77.3248,87.89,9,12,528.0,Pitt County,41.0,1
Reynolds High School,Reynolds SD 7,6/10/2014,2013-2014,2014,08:07:00,Tuesday,Troutdale,Oregon,public,2806,1,1,2,indiscriminate,15,m,w,student,1.0,1,M4 AR-15 rifle,brother,45.5285,-122.4026,106.78,9,12,1744.0,Multnomah County,21.0,0
Stellar Leadership Academy,Dade,9/9/2014,2014-2015,2014,,Tuesday,Miami,Florida,public,233,0,1,1,targeted,19,,Unknown,Unknown,0.0,0,Unknown,Unknown,25.84814,-80.243461,13.0,9,12,62.0,Miami-Dade County,21.0,0
Fern Creek High School,Jefferson County,9/30/2014,2014-2015,2014,13:00:00,Tuesday,Louisville,Kentucky,public,1545,0,1,1,targeted,16,m,b,student,0.0,1,handgun,Unknown,38.156605,-85.592357,82.9,9,12,930.0,Jefferson County,11.0,0
Albemarle High School,Stanly County Schools,9/30/2014,2014-2015,2014,07:40:00,Tuesday,Albemarle,North Carolina,public,464,0,1,1,targeted,15,m,Unknown,student,0.0,1,handgun,Unknown,35.371268,-80.193152,34.66,9,12,327.0,Stanly County,32.0,0
Marysville Pilchuck High School,Marysville School District,10/24/2014,2014-2015,2014,10:39:00,Friday,Marysville,Washington,public,1253,4,1,5,targeted,15,m,Unknown,student,1.0,1,.40-caliber Beretta Px4 Storm handgun,father,48.09582,-122.154021,55.3,9,12,532.0,Snohomish County,22.0,0
Hand in Hand Montessori,Unknown,1/26/2015,2014-2015,2015,15:07:00,Monday,Roseville,Minnesota,private,288,0,0,0,indiscriminate,48,m,Unknown,Unknown,1.0,0,Unknown,Unknown,45.004709,-93.177024,21.4,PK,8,488.0,Ramsey County,21.0,0
North Thurston High School,North Thurston Public Schools,4/27/2015,2014-2015,2015,07:25:00,Monday,Lacey,Washington,public,1477,0,0,0,indiscriminate,16,m,Unknown,student,0.0,1,.357 Magnum,father,47.051956,-122.83241,70.4,9,12,546.0,Thurston County,22.0,0
W.S. Hornsby Elementary School,Richmond County,8/25/2015,2015-2016,2015,10:45:00,Tuesday,Augusta,Georgia,public,742,0,1,1,accidental,19,m,Unknown,student,0.0,1,.380 semi-automatic handgun,grandmother's boyfriend,33.459564,-81.937992,55.3,PK,5,488.0,Richmond County,12.0,0
Harrisburg High School,Harrisburg School District 41-2,9/30/2015,2015-2016,2015,10:00:00,Wednesday,Harrisburg,South Dakota,public,802,0,1,1,targeted,16,m,w,student,0.0,0,handgun,Unknown,43.43212,-96.6998,64.2,9,12,117.0,Lincoln County,41.0,0
Karen Wagner High School,Judson ISD,10/15/2015,2015-2016,2015,09:15:00,Thursday,San Antonio,Texas,public,2260,0,0,0,targeted,22,f,b,friend of student,0.0,1,Unknown,Unknown,29.45738,-98.3578,145.7,9,12,1620.0,Bexar County,21.0,0
Vereen School,Colquitt County,11/5/2015,2015-2016,2015,,Thursday,Moultrie,Georgia,public,40,0,0,0,targeted,19,m,Unknown,student,0.0,1,semiautomatic pistol,department issued,31.175943,-83.804368,55.3,9,12,488.0,Colquitt County,41.0,0
Lecanto High School,Citrus,11/10/2015,2015-2016,2015,10:30:00,Tuesday,Lecanto,Florida,public,1567,0,0,0,public suicide,15,m,Unknown,student,0.0,1,Walther P1 9mm semiautomatic handgun,Unknown,28.824494,-82.499153,84.0,9,12,839.0,Citrus County,41.0,0
Harmony Grove High School,Harmony Grove School District,1/13/2016,2015-2016,2016,15:00:00,Wednesday,Camden,Arkansas,public,393,0,1,1,accidental,17,m,Unknown,student,0.0,0,pistol,Unknown,33.6514,-92.7796,47.17,7,12,195.0,Ouachita County,42.0,0
Benjamin Franklin High School,Philadelphia City SD,1/29/2016,2015-2016,2016,12:00:00,Friday,Philadelphia,Pennsylvania,public,612,0,0,0,targeted,16,m,Unknown,Unknown,0.0,0,.45-caliber handgun,Unknown,39.96367,-75.162,44.42,9,12,612.0,Philadelphia County,11.0,0
Independence High School,Glendale Union High School District,2/12/2016,2015-2016,2016,07:53:00,Friday,Glendale,Arizona,public,2114,1,0,1,targeted,15,f,Unknown,student,1.0,0,9mm Beretta pistol,"classmate, who took from parents",33.53216,-112.221,89.6,9,12,1584.0,Maricopa County,21.0,0
Madison High School,Madison Local,2/29/2016,2015-2016,2016,11:15:00,Monday,Middletown,Ohio,public,1543,0,4,4,indiscriminate,14,m,w,student,0.0,1,Sig Sauer P238,family home,39.53385,-84.4433,33.5,9,12,248.0,Butler County,41.0,0
Huffman High School,Birmingham City,3/15/2016,2015-2016,2016,14:30:00,Tuesday,Birmingham,Alabama,public,1433,0,1,1,targeted,19,m,b,brother of student,0.0,1,Unknown,Unknown,33.61291,-86.682,66.0,9,12,775.0,Jefferson County,12.0,0
Alpine High School,Alpine ISD,9/8/2016,2016-2017,2016,09:00:00,Thursday,Alpine,Texas,public,292,0,1,1,targeted,14,f,Unknown,student,1.0,0,9-mm. semi-automatic handgun,Unknown,30.371983,-103.665798,31.32,9,12,111.0,Brewster County,33.0,0
Townville Elementary School,Anderson 04,9/28/2016,2016-2017,2016,13:45:00,Wednesday,Townville,South Carolina,public,295,1,2,3,indiscriminate,14,m,w,former student,0.0,0,.40 caliber pistol,father,34.56311,-82.903471,19.0,PK,6,186.0,Anderson County,42.0,0
CF Vigor High School,Mobile County,10/11/2016,2016-2017,2016,15:45:00,Tuesday,Prichard,Alabama,public,710,0,1,1,targeted,16,m,b,Unknown,0.0,1,Unknown,Unknown,30.743233,-88.080692,41.0,9,12,511.0,Mobile County,21.0,0
Linden-McKinley STEM Academy,Columbus City School District,10/13/2016,2016-2017,2016,14:40:00,Thursday,Columbus,Ohio,public,719,0,2,2,targeted,19,m,Unknown,Unknown,0.0,1,Unknown,Unknown,40.00952,-82.974011,50.0,7,12,619.0,Franklin County,11.0,0
June Jordan High School for Equity,San Francisco Unified,10/18/2016,2016-2017,2016,15:20:00,Tuesday,San Francisco,California,public,258,0,4,4,targeted,19,m,Unknown,Unknown,0.0,0,pistols,Unknown,37.719558,-122.425241,23.72,9,12,198.0,San Francisco County,11.0,0
Union Middle School,Canyons District,10/25/2016,2016-2017,2016,15:00:00,Tuesday,Sandy,Utah,public,907,0,1,1,targeted,14,m,Unknown,student,0.0,1,Unknown,mother,40.60715,-111.873061,55.3,6,8,389.0,Salt Lake County,21.0,0
Bay City Western High School,Bay City School District,11/11/2016,2016-2017,2016,12:30:00,Friday,Auburn,Michigan,public,1256,0,1,1,accidental,50,m,w,resource officer,0.0,1,.380-caliber Sig Sauer pistol,legally purchased by shooter,43.60478,-84.0783,57.55,9,12,292.0,Bay County,23.0,0
Mueller Park Jr. High,Davis District,12/1/2016,2016-2017,2016,08:13:00,Thursday,Bountiful,Utah,public,813,0,0,0,indiscriminate,15,m,w,student,0.0,1,12-gauge shotgun,parent,40.872489,-111.861172,55.3,7,9,145.0,Davis County,21.0,0
West Liberty-Salem Middle/High School,West Liberty-Salem Local,1/20/2017,2016-2017,2017,07:36:00,Friday,West Liberty,Ohio,public,622,0,2,2,indiscriminate,17,m,w,student,0.0,0,Mossberg Model 500 12 gauge shotgun,gift from grandparents,40.21594,-83.756761,38.4,6,12,0.0,Champaign County,42.0,0
Scotlandville Magnet High School,East Baton Rouge Parish,2/6/2017,2016-2017,2017,12:00:00,Monday,Baton Rouge,Louisiana,public,1388,0,0,0,targeted,14,m,Unknown,student,0.0,1,handgun,Unknown,30.53365,-91.177851,55.3,8,12,770.0,East Baton Rouge Parish,12.0,0
Robert E. Lee High School,Montgomery County,3/16/2017,2016-2017,2017,15:00:00,Thursday,Montgomery,Alabama,public,1514,0,1,1,targeted,16,m,Unknown,student,3.0,0,.40-caliber handgun,Unknown,32.378702,-86.271649,82.5,9,12,941.0,Montgomery County,12.0,0
