school_name,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,ulocale,presence_second_shooter
Belmont High School,Los Angeles Unified,7/30/2001,2000-2001,2001,07:20:00,Monday,Los Angeles,California,public,5264,0,1,1,targeted,19,m,Unknown,Unknown,0.0,1,revolver,Unknown,34.061499,-118.263286,194.3,9,12,4046.0,Los Angeles County,11.0,0
Latonia Elementary School,Covington Independent,9/12/2001,2001-2002,2001,15:00:00,Wednesday,Covington,Kentucky,public,526,1,0,1,targeted,30,f,w,parent of student,0.0,0,.380-caliber semiautomatic pistol,Unknown,39.044149,-84.49833,16.8,KG,5,350.0,Kenton County,21.0,0
Redondo Union High School,Redondo Beach Unified,10/26/2001,2001-2002,2001,10:00:00,Friday,Redondo Beach,California,public,2069,0,1,1,accidental,16,m,Unknown,student,0.0,0,.38-caliber handgun,Unknown,33.844274,-118.384456,94.4,9,12,465.0,Los Angeles County,21.0,0
Caro Learning Center,Caro Community Schools,11/12/2001,2001-2002,2001,14:40:00,Monday,Caro,Michigan,public,151,0,0,0,targeted,17,m,Unknown,student,1.0,0,20-guage shotgun,legally purchased by shooter,43.458011,-83.438553,55.3,9,12,6.0,Tuscola County,32.0,0
"Martin Luther King, Jr. High School",New York City Public Schools,1/15/2002,2001-2002,2002,14:00:00,Tuesday,New York City,New York,public,2258,0,2,2,targeted,17,m,Unknown,student,0.0,0,Lorcin .380-caliber semiautomatic pistol,illegally purchased,40.774262,-73.985021,97.7,9,12,1831.0,New York County,11.0,0
Gardena High School,Los Angeles Unified,2/6/2002,2001-2002,2002,14:50:00,Wednesday,Los Angeles,California,public,3198,0,2,2,targeted,17,m,Unknown,student,0.0,0,pistol,Unknown,33.866342,-118.296704,133.2,9,12,1941.0,Los Angeles County,11.0,0
Benjamin Tasker Middle School,Prince George's County Public Schools,10/7/2002,2002-2003,2002,08:09:00,Monday,Bowie,Maryland,public,1371,0,1,1,indiscriminate,19,m,b,none,0.0,0,Bushmaster XM-15 rifle,stolen,38.957407,-76.746341,73.7,7,8,197.0,Prince George's County,21.0,0
Lincoln High School,Jersey City,10/29/2002,2002-2003,2002,08:30:00,Tuesday,Jersey City,New Jersey,public,986,0,1,1,targeted,15,m,Unknown,student,0.0,1,Browning .380-caliber pistol,Unknown,40.716783,-74.070502,102.0,9,12,495.0,Hudson County,11.0,0
St. James Catholic School,Unknown,11/7/2002,2002-2003,2002,12:30:00,Thursday,Liberty,Missouri,private,297,1,1,2,targeted,41,m,Unknown,parent of student,0.0,0,revolver,legally purchased by shooter,39.240746,-94.45515,55.3,KG,8,488.0,Clay County,21.0,0
Mount Pleasant High School,Providence School District,1/22/2003,2002-2003,2003,,Wednesday,Providence,Rhode Island,public,1641,0,0,0,targeted,19,m,Unknown,student,0.0,0,22-caliber semi-automatic,Unknown,41.837981,-71.45125,55.3,9,12,1097.0,Providence County,12.0,0
Ranum High School,Westminster 50,2/5/2003,2002-2003,2003,08:40:00,Wednesday,Westminster,Colorado,public,1434,0,0,0,targeted,14,m,Unknown,student,0.0,1,small semi-automatic handgun,Unknown,39.841774,-105.015495,68.0,9,12,524.0,Adams County,21.0,0
Cardozo High School,District Of Columbia Pub Schls,4/1/2003,2002-2003,2003,12:15:00,Tuesday,Washington,District of Columbia,public,749,0,1,1,targeted,15,m,Unknown,student,0.0,1,handgun,Unknown,38.922338,-77.029756,55.3,9,12,427.0,District of Columbia,11.0,0
John McDonogh High School,Orleans Parish School Board,4/14/2003,2002-2003,2003,10:30:00,Monday,New Orleans,Louisiana,public,1260,1,3,4,targeted,19,m,Unknown,none,0.0,1,AK-47 and semiautomatic pistol,Unknown,29.974421,-90.075733,63.0,8,12,843.0,Orleans Parish,11.0,1
Delhi Middle School,Delhi Unified,4/15/2003,2002-2003,2003,08:15:00,Tuesday,Delhi,California,public,394,0,1,1,targeted,19,m,Unknown,Unknown,0.0,0,handgun,Unknown,37.426801,-120.792392,18.0,6,8,270.0,Merced County,23.0,0
Red Lion Area Junior High School,Red Lion Area SD,4/24/2003,2002-2003,2003,07:30:00,Thursday,Red Lion,Pennsylvania,public,965,1,0,1,targeted,14,m,w,student,1.0,1,".44-caliber handgun, .22-caliber gun to kill himself",stepfather,39.893809,-76.609728,46.0,7,8,156.0,York County,22.0,0
Vicksburg High School,Vicksburg Warren School Dist,9/10/2003,2003-2004,2003,14:30:00,Wednesday,Vicksburg,Mississippi,public,1121,1,0,1,targeted,20,m,Unknown,Unknown,0.0,0,handgun,Unknown,32.323263,-90.885251,63.8,9,12,540.0,Warren County,32.0,0
